"","time_desc","day_desc","desc","month","naive_demand","demand","bayes_demand"
"120","Evening","Weekday","EveningWeekday",8,64.2,1347.87491775149,104.405775221348
"121","Evening","Weekday","EveningWeekday",9,52.1363636363636,1163.70102032105,85.6297469103495
"122","Evening","Weekday","EveningWeekday",10,48.6636363636364,1175.84003988599,73.0815123423755
"123","Evening","Weekday","EveningWeekday",11,41.5619047619048,1231.09288827288,62.338708359497
"124","Evening","Weekday","EveningWeekday",12,46.2347826086957,566.782494683779,72.7085471883104
"125","Evening","Weekday","EveningWeekday",13,44.3818181818182,1385.57323776789,65.9288046084374
"126","Evening","Weekday","EveningWeekday",14,60.3173076923077,1476.84088837218,97.9355477047287
"127","Evening","Weekend","EveningWeekend",1,0,0,0
"128","Evening","Weekend","EveningWeekend",2,24.04,1888.88923578606,38.5347073537799
"129","Evening","Weekend","EveningWeekend",3,45.15,6019.26269956694,76.9926902082783
"130","Evening","Weekend","EveningWeekend",4,73.375,5207.69525480149,114.318978199461
"131","Evening","Weekend","EveningWeekend",5,78.38,4641.44306814336,124.677720664308
"132","Evening","Weekend","EveningWeekend",6,212.85,4458.06641655086,341.679573510538
"133","Evening","Weekend","EveningWeekend",7,323.725,3917.60473550391,584.748051256025
"134","Evening","Weekend","EveningWeekend",8,154.377777777778,2148.43848192869,251.238695228548
"135","Evening","Weekend","EveningWeekend",9,163.688888888889,5381.92338743181,271.756992763017
"136","Evening","Weekend","EveningWeekend",10,135.75,2476.43612524799,195.746492092765
"137","Evening","Weekend","EveningWeekend",11,99.98,2972.39407176938,148.47549141391
"138","Evening","Weekend","EveningWeekend",12,145.125,1280.85616523678,217.528907036263
"139","Evening","Weekend","EveningWeekend",13,123.05,2665.55961486465,179.140074527657
"140","Evening","Weekend","EveningWeekend",14,165.12,2040.0888948624,276.573346459652
